node_file,node_lineno,node_type,node_distance
Start,0,Start,inf
/home/fuzz/Desktop/Projects/Maine/test/simple_webserver/index.php,2,Include,inf
/home/fuzz/Desktop/Projects/Maine/test/simple_webserver/file1.php,2,Class,inf
/home/fuzz/Desktop/Projects/Maine/test/simple_webserver/file1.php,3,Method,inf
/home/fuzz/Desktop/Projects/Maine/test/simple_webserver/file1.php,7,MethodCall,inf
/home/fuzz/Desktop/Projects/Maine/test/simple_webserver/index.php,3,Include,inf
/home/fuzz/Desktop/Projects/Maine/test/simple_webserver/file2.php,2,Class,inf
/home/fuzz/Desktop/Projects/Maine/test/simple_webserver/file2.php,3,Method,inf
/home/fuzz/Desktop/Projects/Maine/test/simple_webserver/index.php,4,Include,inf
/home/fuzz/Desktop/Projects/Maine/test/simple_webserver/file3.php,2,Class,3
/home/fuzz/Desktop/Projects/Maine/test/simple_webserver/file3.php,3,Method,2
/home/fuzz/Desktop/Projects/Maine/test/simple_webserver/file3.php,7,If,1
/home/fuzz/Desktop/Projects/Maine/test/simple_webserver/file3.php,10,Else,0
/home/fuzz/Desktop/Projects/Maine/test/simple_webserver/index.php,5,If,inf
/home/fuzz/Desktop/Projects/Maine/test/simple_webserver/index.php,7,If,inf
/home/fuzz/Desktop/Projects/Maine/test/simple_webserver/index.php,12,Else,inf
/home/fuzz/Desktop/Projects/Maine/test/simple_webserver/index.php,12,If,inf
/home/fuzz/Desktop/Projects/Maine/test/simple_webserver/index.php,17,Else,inf
/home/fuzz/Desktop/Projects/Maine/test/simple_webserver/index.php,17,If,inf
